,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
220,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Drama,2014,149,8.1,79,921920,167.77
221,Ôkami kodomo no Ame to Yuki,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Animation,2012,117,8.1,71,42361,0
222,Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Biography,2016,139,8.1,71,477143,67.21
223,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Animation,2015,95,8.1,94,663188,356.46
224,Barfi!,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Comedy,2012,151,8.1,0,79406,2.8
225,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Biography,2013,134,8.1,96,670860,56.67
226,Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Action,2013,123,8.1,74,457448,26.95
227,Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Action,2019,152,8.1,81,345079,117.62
228,Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Biography,2015,129,8.1,93,447733,45.06
229,Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Animation,2014,93,8.1,85,55979,0.86
230,Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Mystery,2012,122,8.1,0,61058,1.04
231,Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Crime,2013,153,8.1,70,650947,61
232,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Action,2015,120,8.1,90,940750,154.06
233,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Action,2011,140,8.1,71,453565,13.66
234,A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Action,2008,104,8.1,0,76858,0
235,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Action,2021,242,8.1,54,348996,0
236,Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Drama            ,2008,116,8.1,72,748118,148.1
237,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Adventure,2011,130,8.1,85,814129,381.01
238,Okuribito,A newly unemployed cellist takes a job preparing the dead for funerals.,Drama,2008,130,8.1,68,50806,1.5
239,CODA,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berkeley and her fear of abandoning her parents.",Drama,2021,111,8.1,75,26880,0
240,Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,Biography,2009,93,8.1,0,269691,0
241,Mary and Max.,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Animation,2009,92,8.1,0,172016,0
242,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Animation,2010,98,8.1,75,700907,217.58
243,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Adventure,2007,148,8.1,73,599946,18.35
244,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Crime,2007,122,8.1,91,913337,74.28
245,Lage Raho Munna Bhai,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Comedy,2006,144,8.1,0,45613,2.22
246,V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.",Action,2005,132,8.1,62,1077949,70.51
247,Dare mo shiranai,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Drama            ,2004,141,8.1,88,26694,0.68
248,Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Comedy,2006,167,8.1,0,117064,2.2
249,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,Drama,2004,132,8.1,86,663015,100.49
250,Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Biography,2004,121,8.1,79,345873,23.53
251,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Drama,2004,80,8.1,90,250706,5.82
252,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,Comedy,2003,156,8.1,0,78638,0
253,Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Crime,2003,131,8.1,82,163549,0.01
254,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Comedy,2001,183,8.1,0,70177,0.3
255,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Action,2003,111,8.1,69,1057995,70.1
256,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation,2003,100,8.1,90,993229,380.84
257,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Biography,2002,141,8.1,75,902559,164.62
258,Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Drama,2000,154,8.1,83,233701,5.38
259,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Animation,2001,92,8.1,79,859938,289.92
260,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Animation,1997,87,8.1,0,48433,0
261,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Drama,2001,224,8.1,84,110136,0.07
262,The Sixth Sense,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",Drama,1999,107,8.1,64,950235,293.51
263,Festen,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Drama            ,1998,105,8.1,82,84158,1.65
264,La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Drama,1998,169,8.1,58,62072,0.26
265,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,Comedy,1998,103,8.1,90,1002752,125.62
266,"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Comedy,1998,127,8.1,73,52703,0.35
267,The Big Lebowski,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",Comedy,1998,117,8.1,71,773512,17.5
268,Fa Yeung Nin Wah,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Drama,2000,98,8.1,85,139422,2.73
269,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama            ,1996,93,8.1,83,661522,16.5
270,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Crime,1996,98,8.1,85,649381,24.61
271,Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Comedy,1995,170,8.1,79,57292,0.17
272,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Crime,1995,98,8.1,0,162570,0.31
273,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Drama,1995,189,8.1,0,66996,0
274,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Drama,1995,101,8.1,77,290414,5.54
275,Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,Drama,1994,99,8.1,100,99408,4.04
276,Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Comedy,1994,102,8.1,78,73556,0.6
277,Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Action,1994,160,8.1,0,52095,0
278,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action,1993,127,8.1,68,919843,402.45
279,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Biography,1993,133,8.1,84,167581,25.01
280,Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Drama,1993,171,8.1,83,27147,5.22
281,Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Drama,1991,125,8.1,0,31511,2.6
282,Dom za vesanje,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Comedy,1988,142,8.1,0,29789,0.28
283,Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Comedy,1989,128,8.1,79,455739,95.86
284,The Princess Bride,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Adventure,1987,98,8.1,77,412987,30.86
285,Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Adventure,1986,89,8.1,75,383552,52.29
286,Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Drama,1986,120,8.1,92,398465,138.53
287,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama            ,1984,145,8.1,78,100843,2.18
288,Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Animation,1984,117,8.1,86,161984,0.5
289,Nostalgia,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Drama            ,1983,125,8.1,0,25798,0.01
290,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Horror,1982,109,8.1,57,398576,13.78
291,Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Adventure,1982,158,8.1,0,33735,0
292,Fanny och Alexander,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Drama            ,1982,188,8.1,100,61582,4.97
293,Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Action,1982,117,8.1,84,731505,32.87
294,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Biography,1980,124,8.1,78,232581,0
295,Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Drama,1979,162,8.1,0,128051,0.23
296,Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy            ,1979,94,8.1,77,384930,20.05
297,The Deer Hunter,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Drama,1978,183,8.1,86,327289,48.98
298,Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Drama,1976,120,8.1,70,545729,117.24
299,Network,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama            ,1976,121,8.1,83,153635,0
300,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Adventure,1975,185,8.1,89,160212,0
301,Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Biography,1975,107,8.1,80,44111,0.18
302,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Comedy,1973,102,8.1,77,45088,30.93
303,Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama            ,1972,91,8.1,0,32775,1.74
304,Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Crime,1967,105,8.1,0,49077,0.04
305,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Crime,1967,127,8.1,92,171445,16.22
306,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Drama,1966,85,8.1,86,112288,0
307,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Biography,1966,205,8.1,0,51532,0.1
308,La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Drama,1966,121,8.1,96,57525,0.06
309,El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,Drama,1962,95,8.1,0,32156,0
310,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Drama,1962,134,8.1,75,53540,4.05
311,Sanjuro,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Action,1962,96,8.1,0,36996,0
312,The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,Drama,1962,123,8.1,94,73315,0
313,Ivanovo detstvo,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",Drama,1962,95,8.1,0,34808,0
314,Jungfrukällan,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Drama            ,1960,89,8.1,0,28298,1.53
315,Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.",Biography,1960,128,8.1,75,29262,0
316,Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.",Crime,1959,99,8.1,0,112689,0
317,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",Adventure,1959,212,8.1,90,230394,74.7
318,Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Action,1958,139,8.1,89,37667,0
319,Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama            ,1957,110,8.1,0,46790,0.75
320,Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Drama,1957,110,8.1,0,50287,0
321,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",Adventure,1957,161,8.1,87,212908,44.91
322,Du rififi chez les hommes,"Four men plan a technically perfect crime, but the human element intervenes...",Crime,1955,118,8.1,97,32997,0.06
323,On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Crime,1954,108,8.1,91,149770,9.6
324,Les diaboliques,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Crime,1955,117,8.1,0,64449,1.09
325,Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Adventure,1953,131,8.1,85,58790,0
326,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Drama,1951,111,8.1,72,34368,3.97
327,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Action,1949,114,8.1,0,31824,0
328,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Film-Noir,1949,104,8.1,97,166646,0.45
329,The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Drama,1948,135,8.1,0,33422,10.9
330,Roma città aperta,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",Drama,1945,103,8.1,0,25420,0
331,The Best Years of Our Lives,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",Drama,1946,170,8.1,93,61466,23.65
332,The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Comedy,1940,99,8.1,96,30940,0.2
333,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Drama,1940,130,8.1,86,132330,4.36
334,The Grapes of Wrath,"An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama            ,1940,129,8.1,96,89949,0.06
335,Mr. Smith Goes to Washington,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Comedy,1939,129,8.1,73,112309,9.6
336,Gone with the Wind,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,Drama,1939,238,8.1,97,303802,198.68
337,La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Drama,1937,113,8.1,0,35600,0.17
338,It Happened One Night,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",Comedy,1934,105,8.1,87,99817,4.36
339,All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Drama,1930,152,8.1,91,59842,3.27
340,La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Biography,1928,110,8.1,0,52081,0.02
341,The Circus,The Tramp finds work and the girl of his dreams at a circus.,Comedy,1928,72,8.1,90,32594,0
342,Sunrise: A Song of Two Humans,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",Drama,1927,94,8.1,0,49936,0.54
343,The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Action,1926,67,8.1,0,87769,1.03
344,Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Horror,1920,76,8.1,0,61194,0
345,Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,Comedy,2018,124,8,0,31826,0
346,Super 30,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Biography,2019,154,8,0,27700,2.27
347,WolfWalkers,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,Animation,2020,103,8,87,27161,0
348,Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Adventure,2019,113,8,69,44293,0
349,Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Drama,2016,130,8,0,55573,0
350,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Action,2015,163,8,0,82325,8.18
351,Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Action,2015,159,8,0,56004,0
352,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Comedy,2016,128,8,94,545904,151.1
353,Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Biography,2016,118,8,69,226846,51.74
354,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Adventure,2015,144,8,80,806115,228.43
355,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Animation,2016,108,8,78,464837,341.27
356,Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Action,2015,159,8,0,109727,6.74
357,Kaguya-hime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Animation,2013,137,8,89,43317,1.51
358,Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Drama,2017,113,8,66,155113,132.42
359,Special Chabbis,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Crime,2013,144,8,0,54347,1.08
360,Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama            ,2013,96,8,82,85698,1.01
361,Serbuan maut 2: Berandal,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Action,2014,150,8,71,119491,2.63
362,The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Biography,2014,114,8,71,726520,91.13
363,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action,2014,121,8,76,1107720,333.18
364,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Action,2017,164,8,81,518002,92.05
365,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Drama,2013,126,8,91,574881,25.57
366,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Action,2015,156,8,76,753476,183.64
367,Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Action,2010,115,8,71,81552,0.1
368,The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Biography,2010,118,8,88,660627,138.8
369,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama            ,2011,146,8,62,442071,169.71
370,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Action,2016,108,8,65,963457,363.07
371,Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Drama,2009,119,8,87,50764,0.11
372,Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Comedy,2009,144,8,0,30016,0.01
373,Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Action,2008,106,8,59,218522,0
374,My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama            ,2010,165,8,50,103426,4.02
375,Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,Action,2009,128,8,0,33020,0
376,Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Drama,2008,120,8,84,822421,141.32
377,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Drama,2010,108,8,79,730837,106.95
378,Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Action,2007,115,8,33,101403,0.01
379,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Action,2012,143,8,69,1321102,623.28
380,Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Animation,2007,96,8,90,92399,4.45
381,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Biography,2013,117,8,79,466156,27.3
382,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Biography,2006,117,8,64,479968,163.57
383,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Adventure,2006,143,8,64,524510,57.37
