,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
34,Seppuku,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Action,1962,133,8.6,85,50620,0
35,Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Action,1954,207,8.6,98,332118,0.27
36,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Drama,1946,130,8.6,89,427450,0
37,96,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,Drama,2018,158,8.5,0,26546,0
38,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Drama,2014,106,8.5,88,776475,13.09
39,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Biography,2011,112,8.5,57,807047,13.18
40,The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Drama,2006,130,8.5,66,1260093,53.09
41,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Action,2006,151,8.5,85,1254388,132.38
42,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Biography,2002,150,8.5,85,781007,32.57
43,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action,2000,155,8.5,67,1416267,187.71
44,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama            ,1998,119,8.5,62,1076000,6.72
45,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Crime,1995,106,8.5,77,1038375,23.34
46,Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Action,1994,110,8.5,64,1095564,19.5
47,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Animation,1994,88,8.5,88,995072,422.78
48,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",Action,1991,137,8.5,75,1043834,204.84
49,Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Drama,1988,155,8.5,80,248299,11.99
50,Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,Animation,1988,89,8.5,94,256944,0
51,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Adventure,1985,116,8.5,87,1127125,210.61
52,Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western            ,1968,165,8.5,80,317220,5.32
53,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Horror,1960,109,8.5,97,638461,32
54,Rear Window,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Mystery,1954,112,8.5,100,470395,36.76
55,Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Drama,1942,102,8.5,100,547939,1.02
56,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Comedy,1936,87,8.5,96,231206,0.16
57,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Comedy,1931,87,8.5,99,177779,0.02
58,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Biography,2020,160,8.4,90,77829,0
59,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama            ,2018,126,8.4,75,78625,1.66
60,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Crime,2019,122,8.4,59,1105995,335.45
61,Ratsasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Action,2018,170,8.4,0,36651,0
62,Ayla: The Daughter of War,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Biography,2017,125,8.4,0,37547,0
63,Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Animation,2016,106,8.4,79,232467,5.02
64,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Action,2016,161,8.4,0,174733,12.39
65,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation,2018,117,8.4,87,442625,190.24
66,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action,2019,181,8.4,78,970570,858.37
67,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action,2018,149,8.4,68,948604,678.82
68,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation,2017,105,8.4,81,444841,209.73
69,Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Drama,2012,165,8.4,81,1447941,162.81
70,The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Action,2012,164,8.4,78,1596363,448.14
